script,param1,param2,param3,param4,param5,bl_memory,peak_memory,ss_memory,time,version
iarray_constr.py,memory,ones,float32,0,0,154.582,0.43,0.0,0.0002,2022.2
iarray_constr.py,disk,ones,float32,0,0,154.7188,0.66,0.152,0.0025,2022.2
iarray_constr.py,memory,full,float32,0,0,154.1836,0.0,0.0,0.0002,2022.2
iarray_constr.py,disk,full,float32,0,0,154.5,0.668,0.152,0.0026,2022.2
iarray_constr.py,memory,linspace,float32,0,0,154.8164,23.1,10.9,0.326,2022.2
iarray_constr.py,disk,linspace,float32,0,0,153.8398,17.2,17.2,0.33,2022.2
iarray_constr.py,memory,ones,int32,0,0,154.8516,0.0,0.0,0.0002,2022.2
iarray_constr.py,disk,ones,int32,0,0,153.8516,0.0937,0.0937,0.0026,2022.2
iarray_constr.py,memory,full,int32,0,0,154.1523,0.0,0.0,0.0003,2022.2
iarray_constr.py,disk,full,int32,0,0,154.9141,0.543,0.152,0.0027,2022.2
iarray_constr.py,memory,arange,int32,0,0,153.8398,12.6,1.75,0.328,2022.2
iarray_constr.py,disk,arange,int32,0,0,154.3477,17.0,17.0,0.329,2022.2
iarray_constr.py,memory,standard_normal,float32,10,0,154.3711,999.0,999.0,0.305,2022.2
iarray_constr.py,memory,standard_normal,float32,0,0,154.1289,1500.0,1500.0,0.274,2022.2
iarray_constr.py,disk,standard_normal,float32,10,0,154.0859,68.2,31.2,1.65,2022.2
iarray_constr.py,disk,standard_normal,float32,0,0,154.6797,92.2,33.8,1.89,2022.2
iarray_constr.py,memory,poisson,int32,0,0,153.9336,303.0,303.0,0.306,2022.2
iarray_constr.py,disk,poisson,int32,0,0,154.2695,39.0,27.8,1.34,2022.2
iarray_constr_udf.py,memory,0,0,0,0,156.3555,36.0,36.0,0.0953,2022.2
iarray_constr_udf.py,disk,0,0,0,0,157.8203,59.3,27.6,0.579,2022.2
iarray_expr.py,load,mean,0,0,0,858.7539,757.0,757.0,0.361,2022.2
iarray_expr.py,load,trans,0,0,0,859.4297,692.0,692.0,0.575,2022.2
iarray_expr.py,open,mean,0,0,0,153.8594,93.8,62.0,2.36,2022.2
iarray_expr.py,open,trans,0,0,0,154.418,97.0,65.3,2.87,2022.2
iarray_expr_udf.py,load,mean,0,0,0,882.3984,734.0,734.0,0.311,2022.2
iarray_expr_udf.py,load,mean,lazy,0,0,864.125,753.0,753.0,0.352,2022.2
iarray_expr_udf.py,load,trans,0,0,0,881.6367,266.0,266.0,0.532,2022.2
iarray_expr_udf.py,load,trans,lazy,0,0,863.3789,688.0,688.0,0.601,2022.2
iarray_expr_udf.py,open,mean,0,0,0,177.668,71.9,40.1,2.37,2022.2
iarray_expr_udf.py,open,mean,lazy,0,0,159.043,89.5,57.7,2.38,2022.2
iarray_expr_udf.py,open,trans,0,0,0,176.832,70.8,39.1,2.3,2022.2
iarray_expr_udf.py,open,trans,lazy,0,0,159.0977,93.1,61.3,2.85,2022.2
iarray_linalgebra.py,load,matmul,0,0,0,8885.6875,76.7,52.6,10.7,2022.2
iarray_linalgebra.py,open,matmul,0,0,0,350.168,40.6,40.6,12.7,2022.2
iarray_linalgebra.py,load,transpose,0,0,0,8689.7578,8600.0,8570.0,17.3,2022.2
iarray_linalgebra.py,open,transpose,0,0,0,154.6875,94.3,41.8,30.9,2022.2
iarray_red.py,load,mean,0,0,0,826.7539,29.4,25.6,1.13,2022.2
iarray_red.py,load,mean,True,0,0,827.4883,46.5,41.2,2.95,2022.2
iarray_red.py,load,sum,0,0,0,827.3477,29.3,29.3,0.911,2022.2
iarray_red.py,load,sum,True,0,0,827.4297,46.4,39.0,2.73,2022.2
iarray_red.py,load,prod,0,0,0,827.6562,22.3,22.3,0.914,2022.2
iarray_red.py,load,prod,True,0,0,827.125,44.3,36.0,2.76,2022.2
iarray_red.py,load,max,0,0,0,827.6445,27.0,27.0,1.01,2022.2
iarray_red.py,load,max,True,0,0,827.082,46.3,38.1,2.79,2022.2
iarray_red.py,load,min,0,0,0,826.8047,23.4,23.4,0.954,2022.2
iarray_red.py,load,min,True,0,0,827.2617,45.7,36.0,2.87,2022.2
iarray_red.py,load,var,0,0,0,827.0938,55.3,55.3,5.41,2022.2
iarray_red.py,load,std,0,0,0,826.918,49.3,49.3,5.4,2022.2
iarray_red.py,load,median,0,0,0,826.75,311.0,98.1,6.22,2022.2
iarray_red.py,load,nanmean,0,0,0,827.2734,47.3,38.8,3.04,2022.2
iarray_red.py,load,nansum,0,0,0,827.207,30.0,30.0,1.21,2022.2
iarray_red.py,load,nansum,True,0,0,826.7617,46.8,39.2,2.83,2022.2
iarray_red.py,load,nanprod,0,0,0,827.2656,25.0,25.0,1.19,2022.2
iarray_red.py,load,nanprod,True,0,0,827.6758,45.4,37.8,2.82,2022.2
iarray_red.py,load,nanmax,0,0,0,827.0938,27.6,27.6,1.0,2022.2
iarray_red.py,load,nanmax,True,0,0,827.0312,46.1,36.1,2.82,2022.2
iarray_red.py,load,nanmin,0,0,0,827.7266,26.0,26.0,1.02,2022.2
iarray_red.py,load,nanmin,True,0,0,827.6602,43.9,37.3,2.82,2022.2
iarray_red.py,load,nanvar,0,0,0,826.8633,50.7,49.4,5.65,2022.2
iarray_red.py,load,nanstd,0,0,0,826.7578,51.8,51.8,5.55,2022.2
iarray_red.py,load,nanmedian,0,0,0,826.8789,312.0,143.0,6.24,2022.2
iarray_red.py,open,mean,0,0,0,154.1484,29.3,25.2,1.73,2022.2
iarray_red.py,open,mean,True,0,0,153.8984,52.3,52.3,3.02,2022.2
iarray_red.py,open,sum,0,0,0,154.1055,27.2,27.1,1.6,2022.2
iarray_red.py,open,sum,True,0,0,154.1836,52.7,52.7,2.91,2022.2
iarray_red.py,open,prod,0,0,0,153.9375,23.1,23.0,1.57,2022.2
iarray_red.py,open,prod,True,0,0,153.8984,48.3,48.1,2.8,2022.2
iarray_red.py,open,max,0,0,0,154.6328,25.6,25.4,1.64,2022.2
iarray_red.py,open,max,True,0,0,153.8984,46.8,46.8,2.89,2022.2
iarray_red.py,open,min,0,0,0,154.625,23.3,23.2,1.59,2022.2
iarray_red.py,open,min,True,0,0,153.793,49.6,49.3,2.98,2022.2
iarray_red.py,open,var,0,0,0,153.9297,52.5,52.4,5.55,2022.2
iarray_red.py,open,std,0,0,0,154.8945,52.8,49.7,5.47,2022.2
iarray_red.py,open,median,0,0,0,153.9219,310.0,15.5,6.76,2022.2
iarray_red.py,open,nanmean,0,0,0,153.9258,51.5,51.5,2.98,2022.2
iarray_red.py,open,nansum,0,0,0,154.0,27.1,27.0,1.8,2022.2
iarray_red.py,open,nansum,True,0,0,153.9609,50.6,50.6,2.96,2022.2
iarray_red.py,open,nanprod,0,0,0,154.0312,23.1,22.9,1.77,2022.2
iarray_red.py,open,nanprod,True,0,0,154.918,47.7,47.7,2.95,2022.2
iarray_red.py,open,nanmax,0,0,0,154.8711,25.4,25.4,1.7,2022.2
iarray_red.py,open,nanmax,True,0,0,153.8789,50.3,50.2,2.95,2022.2
iarray_red.py,open,nanmin,0,0,0,154.5898,23.1,23.0,1.59,2022.2
iarray_red.py,open,nanmin,True,0,0,153.8477,46.6,45.2,2.91,2022.2
iarray_red.py,open,nanvar,0,0,0,154.3125,56.4,53.0,5.63,2022.2
iarray_red.py,open,nanstd,0,0,0,154.7422,53.5,53.3,5.63,2022.2
iarray_red.py,open,nanmedian,0,0,0,154.1758,310.0,15.4,6.66,2022.2
